"_time",bytes,"bytes_in","bytes_out","dest_ip","dest_port",packets,"packets_in","packets_out","src_ip"
"1495490486.000",7505,2347,5158,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495490484.000",90501320,43924807,46576513,"10.11.168.3",445,400894,200296,200598,"10.84.42.134"
"1495490050.000",7485,2347,5138,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495490049.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495490049.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495490049.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495490040.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495490040.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495490040.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489916.000",6531,1822,4709,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495489914.000",13305,5908,7397,"10.11.168.180",445,62,29,33,"10.84.42.134"
"1495489483.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489483.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489471.000",282,142,140,"10.83.22.26",445,5,2,3,"10.84.42.134"
"1495489471.000",2000,1154,846,"10.83.22.26",445,15,6,9,"10.84.42.134"
"1495489471.000",282,142,140,"10.83.22.26",445,5,2,3,"10.84.42.134"
"1495489471.000",352,212,140,"10.83.22.26",445,6,3,3,"10.84.42.134"
"1495487786.000",7505,2347,5158,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495487784.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495487389.000",7465,2347,5118,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495487256.000",7572,2405,5167,"10.11.168.10",445,28,12,16,"10.84.42.134"
"1495487244.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495487094.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495487004.000",10060,4506,5554,"10.11.168.180",445,48,22,26,"10.84.42.134"
"1495487003.000",10616,4912,5704,"10.11.168.180",445,50,23,27,"10.84.42.134"
"1495487000.000",6505,1881,4624,"10.11.168.10",445,24,10,14,"10.84.42.134"
"1495487000.000",17299,7715,9584,"10.11.168.180",445,83,39,44,"10.84.42.134"
"1495486948.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495486948.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495486948.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495486945.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495486945.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495486945.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495486182.000",7438,2346,5092,"10.11.168.9",445,26,11,15,"10.84.42.134"
"1495485729.000",422,212,210,"10.83.68.49",445,7,3,4,"10.84.42.134"
"1495485728.000",422,212,210,"10.83.68.49",445,7,3,4,"10.84.42.134"
"1495485728.000",2070,1154,916,"10.83.68.49",445,16,6,10,"10.84.42.134"
"1495485727.000",422,212,210,"10.83.68.49",445,7,3,4,"10.84.42.134"
"1495485727.000",422,212,210,"10.83.68.49",445,7,3,4,"10.84.42.134"
"1495485725.000",82,0,82,"186.214.252.94",445,1,0,1,"10.84.42.134"
"1495485724.000",82,0,82,"10.157.36.22",445,2,0,2,"10.84.42.134"
"1495485724.000",82,0,82,"136.98.181.1",445,2,0,2,"10.84.42.134"
"1495485724.000",82,0,82,"136.98.182.1",445,2,0,2,"10.84.42.134"
"1495485723.000",82,0,82,"10.157.36.22",445,2,0,2,"10.84.42.134"
"1495485723.000",82,0,82,"136.98.182.1",445,2,0,2,"10.84.42.134"
"1495485723.000",82,0,82,"186.214.252.94",445,1,0,1,"10.84.42.134"
"1495485723.000",82,0,82,"136.98.181.1",445,2,0,2,"10.84.42.134"
"1495485719.000",82,0,82,"186.214.252.94",445,1,0,1,"10.84.42.134"
"1495485719.000",82,0,82,"136.98.181.1",445,2,0,2,"10.84.42.134"
"1495485719.000",82,0,82,"10.157.36.22",445,2,0,2,"10.84.42.134"
"1495485719.000",82,0,82,"10.157.36.22",445,2,0,2,"10.84.42.134"
"1495485717.000",82,0,82,"10.84.90.244",445,2,0,2,"10.84.42.134"
"1495485705.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495485705.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495485705.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485705.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495485705.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485539.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495485539.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485539.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495485435.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495485435.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485432.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495485432.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485432.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495485430.000",8145,2701,5444,"10.11.168.10",445,30,12,18,"10.84.42.134"
"1495485417.000",6531,1822,4709,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495485115.000",8073,2679,5394,"10.11.168.9",445,29,12,17,"10.84.42.134"
"1495485110.000",20492,9195,11297,"10.11.168.180",445,93,44,49,"10.84.42.134"
"1495485089.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495485089.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495485089.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495485085.000",7505,2347,5158,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495484999.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495484999.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495484804.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
