EventCode,EventType,RecordNumber,"_time",action,"anonymized_ComputerName",dest,source,sourcetype,src,user
4624,0,1018504243,"1473278851.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250152120,"1473278939.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1018517557,"1473279543.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250157645,"1473279556.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250158867,"1473279691.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250163692,"1473280190.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250171139,"1473281030.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250171841,"1473281131.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018549797,"1473281144.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250172846,"1473281233.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1018551873,"1473281250.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250174914,"1473281454.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250175402,"1473281504.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250176134,"1473281594.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250177076,"1473281704.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1018561610,"1473281722.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250179443,"1473281962.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1018582467,"1473282590.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1018587668,"1473282830.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,147558825,"1473282987.000",success,"anon_ComputerName_13","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",chuck
4648,0,1018592946,"1473283071.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1018598955,"1473283384.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250194109,"1473283531.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250194302,"1473283552.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250204093,"1473285632.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250207311,"1473285953.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250207898,"1473286020.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250208847,"1473286140.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,1018649577,"1473286259.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250209963,"1473286260.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250211857,"1473286494.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250216494,"1473287024.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250220054,"1473287474.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250223667,"1473287871.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018683221,"1473287935.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1018687489,"1473288175.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250233779,"1473289087.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250235466,"1473289283.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250238402,"1473289624.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1018716083,"1473289654.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250246099,"1473290512.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250254857,"1473291556.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250255820,"1473291674.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250257697,"1473291911.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250259060,"1473292054.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250265385,"1473292784.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250267663,"1473293011.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250273184,"1473293624.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250277849,"1473294180.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018780749,"1473294207.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018782586,"1473294313.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
