"_time",host,service,"start_mode",status
"1515565286.114","host_6",wuauserv,Manual,Stopped
"1515565685.099","host_3",wuauserv,Manual,Running
"1515565790.368","host_8",wuauserv,Auto,Running
"1515565796.316","host_1",wuauserv,Manual,Running
"1515566324.935","host_15",wuauserv,Manual,Running
"1515566381.964","host_14",wuauserv,Auto,Running
"1515566748.464","host_11",wuauserv,Auto,Running
"1515567715.341","host_10",wuauserv,Auto,Running
"1515567813.486","host_5",wuauserv,Manual,Stopped
"1515568069.224","host_7",wuauserv,Manual,Stopped
"1515568109.201","host_2",wuauserv,Manual,Running
"1515568401.790","host_9",wuauserv,Auto,Running
"1515568412.402","host_12",wuauserv,Manual,Stopped
"1515568840.411","host_13",wuauserv,Manual,Stopped
"1515568952.704","host_6",wuauserv,Manual,Stopped
"1515569396.638","host_1",wuauserv,Manual,Running
"1515569403.824","host_8",wuauserv,Auto,Running
"1515569925.223","host_15",wuauserv,Manual,Running
"1515569971.789","host_3",wuauserv,Manual,Running
"1515569982.383","host_14",wuauserv,Auto,Running
"1515571096.631","host_11",wuauserv,Auto,Running
"1515571322.270","host_10",wuauserv,Auto,Running
"1515571419.145","host_5",wuauserv,Manual,Stopped
"1515571669.583","host_7",wuauserv,Manual,Stopped
"1515571709.422","host_2",wuauserv,Manual,Running
"1515572028.172","host_9",wuauserv,Auto,Running
"1515572190.888","host_12",wuauserv,Manual,Stopped
"1515572844.921","host_6",wuauserv,Manual,Stopped
"1515572994.770","host_13",wuauserv,Manual,Stopped
"1515572996.961","host_1",wuauserv,Manual,Running
"1515573004.247","host_8",wuauserv,Auto,Running
"1515573525.635","host_15",wuauserv,Manual,Running
"1515573582.966","host_14",wuauserv,Auto,Running
"1515574280.291","host_3",wuauserv,Manual,Stopped
"1515574703.546","host_11",wuauserv,Auto,Running
"1515575026.101","host_5",wuauserv,Manual,Stopped
"1515575269.007","host_10",wuauserv,Auto,Running
"1515575269.892","host_7",wuauserv,Manual,Stopped
"1515575309.616","host_2",wuauserv,Manual,Running
"1515575628.706","host_9",wuauserv,Auto,Running
"1515576300.097","host_12",wuauserv,Manual,Stopped
"1515576511.465","host_6",wuauserv,Manual,Stopped
"1515576597.368","host_1",wuauserv,Manual,Running
"1515576604.698","host_8",wuauserv,Auto,Running
"1515576608.153","host_13",wuauserv,Manual,Running
"1515577125.892","host_15",wuauserv,Manual,Running
"1515577183.386","host_14",wuauserv,Auto,Running
"1515578639.979","host_5",wuauserv,Manual,Stopped
"1515578650.118","host_11",wuauserv,Auto,Running
"1515578673.969","host_3",wuauserv,Manual,Running
"1515578870.201","host_7",wuauserv,Manual,Stopped
"1515578909.841","host_2",wuauserv,Manual,Running
"1515579199.883","host_10",wuauserv,Auto,Running
"1515579229.341","host_9",wuauserv,Auto,Running
"1515580007.364","host_12",wuauserv,Manual,Stopped
"1515580197.900","host_1",wuauserv,Manual,Running
"1515580205.012","host_8",wuauserv,Auto,Running
"1515580282.610","host_6",wuauserv,Manual,Running
"1515580639.886","host_13",wuauserv,Manual,Stopped
"1515580726.183","host_15",wuauserv,Manual,Running
"1515580783.726","host_14",wuauserv,Auto,Running
"1515582241.919","host_5",wuauserv,Manual,Stopped
"1515582396.649","host_11",wuauserv,Auto,Running
"1515582470.540","host_7",wuauserv,Manual,Stopped
"1515582510.394","host_2",wuauserv,Manual,Running
"1515582829.563","host_9",wuauserv,Auto,Running
"1515583012.691","host_3",wuauserv,Manual,Stopped
"1515583146.605","host_10",wuauserv,Auto,Running
"1515583798.396","host_1",wuauserv,Manual,Running
"1515583805.321","host_8",wuauserv,Auto,Running
"1515584270.616","host_6",wuauserv,Manual,Running
"1515584326.720","host_15",wuauserv,Manual,Running
"1515584384.697","host_14",wuauserv,Auto,Running
"1515584637.837","host_13",wuauserv,Manual,Stopped
"1515585742.180","host_12",wuauserv,Manual,Stopped
"1515585846.844","host_5",wuauserv,Manual,Stopped
"1515586070.723","host_7",wuauserv,Manual,Stopped
"1515586110.901","host_2",wuauserv,Manual,Running
"1515586243.044","host_11",wuauserv,Auto,Running
"1515586430.213","host_9",wuauserv,Auto,Running
"1515586747.096","host_10",wuauserv,Auto,Running
"1515587390.149","host_3",wuauserv,Manual,Stopped
"1515587398.615","host_1",wuauserv,Manual,Running
"1515587405.698","host_8",wuauserv,Auto,Running
"1515587927.430","host_15",wuauserv,Manual,Running
"1515587984.950","host_14",wuauserv,Auto,Running
"1515588137.238","host_6",wuauserv,Manual,Stopped
"1515588847.386","host_13",wuauserv,Manual,Stopped
"1515589447.409","host_5",wuauserv,Manual,Stopped
"1515589488.666","host_12",wuauserv,Manual,Stopped
"1515589671.188","host_7",wuauserv,Manual,Stopped
"1515589711.110","host_2",wuauserv,Manual,Running
"1515590009.669","host_11",wuauserv,Auto,Running
