EventCode,EventType,OpCode,RecordNumber,"_time","anonymized_DomainControllerName",source,"source_workstation",sourcetype,user
4776,0,Info,292253730,"1475089371.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073472611,"1475089896.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292287024,"1475090940.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292303957,"1475091700.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292318970,"1475092371.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292324547,"1475092625.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292329890,"1475092862.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073555785,"1475093471.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292358573,"1475094185.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073623057,"1475095387.000","anon_DomainControllerName_4","WinEventLog:Security",workstation2,"WinEventLog:Security",chuck
4776,0,Info,292397506,"1475096003.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292411269,"1475096612.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073700255,"1475097422.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073743857,"1475098745.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073751746,"1475099101.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,1073777695,"1475099951.000","anon_DomainControllerName_4","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292498032,"1475100166.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
4776,0,Info,292498093,"1475100170.000","anon_DomainControllerName_5","WinEventLog:Security",workstation1,"WinEventLog:Security",bob
