"File_Printed","Page_Count",User,"_time","anonymized_Printer"
"document_275",2,chuck,"1473755476.000","anon_Printer_9"
"document_276",2,chuck,"1473755633.000","anon_Printer_9"
"document_277",1,chuck,"1473755642.000","anon_Printer_9"
"document_278",1,chuck,"1473757472.000","anon_Printer_9"
"document_279",2,chuck,"1473757487.000","anon_Printer_9"
"document_280",7,alice,"1473757539.000","anon_Printer_9"
"document_4",6,alice,"1473757539.000","anon_Printer_9"
"document_282",1,alice,"1473757720.000","anon_Printer_9"
"document_283",5,chuck,"1473758123.000","anon_Printer_9"
"document_284",6,chuck,"1473758138.000","anon_Printer_9"
"document_285",1,chuck,"1473759896.000","anon_Printer_9"
"document_286",8,chuck,"1473760441.000","anon_Printer_6"
"document_287",8,chuck,"1473760441.000","anon_Printer_6"
"document_288",45,alice,"1473827128.000","anon_Printer_9"
"document_289",44,alice,"1473827128.000","anon_Printer_9"
"document_290",1,chuck,"1473828948.000","anon_Printer_9"
"document_291",1,chuck,"1473830136.000","anon_Printer_9"
"document_292",1,alice,"1473835547.000","anon_Printer_9"
"document_293",5,alice,"1473842480.000","anon_Printer_9"
"document_294",4,alice,"1473842480.000","anon_Printer_9"
"document_295",5,chuck,"1473910959.000","anon_Printer_9"
"document_296",2,chuck,"1473913949.000","anon_Printer_9"
"document_297",13,chuck,"1473923753.000","anon_Printer_9"
"document_298",9,chuck,"1473923766.000","anon_Printer_9"
"document_299",3,alice,"1473925503.000","anon_Printer_9"
"document_300",2,alice,"1473925503.000","anon_Printer_9"
"document_301",4,alice,"1473925525.000","anon_Printer_9"
"document_302",4,alice,"1473925525.000","anon_Printer_9"
"document_303",4,alice,"1473925650.000","anon_Printer_9"
"document_304",4,alice,"1473925650.000","anon_Printer_9"
"document_305",16,alice,"1473925792.000","anon_Printer_9"
"document_306",17,alice,"1473925792.000","anon_Printer_9"
"document_307",2,alice,"1473994626.000","anon_Printer_9"
"document_308",3,alice,"1473994626.000","anon_Printer_9"
"document_309",2,alice,"1474011108.000","anon_Printer_9"
"document_310",2,alice,"1474011108.000","anon_Printer_9"
"document_311",2,alice,"1474012533.000","anon_Printer_9"
"document_312",2,alice,"1474012533.000","anon_Printer_9"
"document_313",1,alice,"1474017150.000","anon_Printer_9"
"document_314",15,chuck,"1474244895.000","anon_Printer_7"
"document_315",10,chuck,"1474245213.000","anon_Printer_7"
"document_316",8,chuck,"1474245676.000","anon_Printer_7"
"document_317",2,chuck,"1474246396.000","anon_Printer_4"
"document_318",1,chuck,"1474246396.000","anon_Printer_4"
"document_319",1,chuck,"1474246396.000","anon_Printer_4"
"document_320",6,chuck,"1474246397.000","anon_Printer_4"
"document_321",5,chuck,"1474246397.000","anon_Printer_4"
"document_322",1,chuck,"1474246397.000","anon_Printer_4"
"document_323",2,chuck,"1474246399.000","anon_Printer_4"
"document_324",2,chuck,"1474246399.000","anon_Printer_4"
"document_325",15,chuck,"1474246833.000","anon_Printer_7"
"document_326",3,chuck,"1474247124.000","anon_Printer_1"
"document_327",2,chuck,"1474247124.000","anon_Printer_1"
"document_328",1,chuck,"1474247124.000","anon_Printer_1"
"document_165",1,chuck,"1474247632.000","anon_Printer_4"
"document_330",1,chuck,"1474247632.000","anon_Printer_4"
"document_331",1,chuck,"1474247633.000","anon_Printer_4"
"document_332",1,chuck,"1474247633.000","anon_Printer_4"
"document_167",1,chuck,"1474247634.000","anon_Printer_4"
"document_334",1,chuck,"1474247634.000","anon_Printer_4"
"document_335",1,chuck,"1474247635.000","anon_Printer_4"
"document_336",1,chuck,"1474247635.000","anon_Printer_4"
"document_337",1,chuck,"1474248000.000","anon_Printer_2"
"document_338",2,chuck,"1474248000.000","anon_Printer_2"
"document_339",2,chuck,"1474248000.000","anon_Printer_2"
"document_340",1000,chuck,"1474248103.000","anon_Printer_2"
"document_341",500,chuck,"1474248103.000","anon_Printer_2"
"document_342",1000,chuck,"1474248103.000","anon_Printer_2"
"document_343",4,chuck,"1474248113.000","anon_Printer_1"
"document_344",1,chuck,"1474248113.000","anon_Printer_1"
"document_173",3,chuck,"1474248113.000","anon_Printer_1"
"document_346",1,chuck,"1474248311.000","anon_Printer_1"
"document_347",1,chuck,"1474248311.000","anon_Printer_1"
"document_348",1,chuck,"1474248320.000","anon_Printer_1"
"document_349",1,chuck,"1474248320.000","anon_Printer_1"
"document_350",1,chuck,"1474248332.000","anon_Printer_1"
"document_351",1,chuck,"1474248332.000","anon_Printer_1"
"document_352",1,chuck,"1474249004.000","anon_Printer_6"
"document_353",1,chuck,"1474249004.000","anon_Printer_6"
"document_354",37,chuck,"1474249240.000","anon_Printer_9"
"document_355",2,chuck,"1474249415.000","anon_Printer_4"
"document_356",2,chuck,"1474249415.000","anon_Printer_4"
"document_357",3,chuck,"1474249415.000","anon_Printer_4"
"document_358",4,chuck,"1474249417.000","anon_Printer_4"
"document_359",4,chuck,"1474249417.000","anon_Printer_4"
"document_360",2,chuck,"1474249417.000","anon_Printer_4"
"document_361",250,chuck,"1474249424.000","anon_Printer_4"
"document_362",250,chuck,"1474249424.000","anon_Printer_4"
"document_363",14,chuck,"1474249576.000","anon_Printer_9"
"document_364",3,chuck,"1474249581.000","anon_Printer_9"
"document_365",5,chuck,"1474249587.000","anon_Printer_9"
"document_366",1,chuck,"1474249592.000","anon_Printer_9"
"document_367",2,chuck,"1474249599.000","anon_Printer_6"
"document_368",1,chuck,"1474249599.000","anon_Printer_6"
"document_369",1,chuck,"1474249599.000","anon_Printer_6"
"document_370",17,chuck,"1474249636.000","anon_Printer_9"
"document_371",1,chuck,"1474249685.000","anon_Printer_6"
"document_372",1,chuck,"1474249685.000","anon_Printer_6"
"document_4",2,chuck,"1474249816.000","anon_Printer_6"
"document_374",1,chuck,"1474249816.000","anon_Printer_6"
"document_375",1,chuck,"1474249816.000","anon_Printer_6"
"document_376",1,chuck,"1474249817.000","anon_Printer_6"
"document_377",2,chuck,"1474249817.000","anon_Printer_6"
"document_378",1,chuck,"1474249817.000","anon_Printer_6"
"document_379",1,chuck,"1474249819.000","anon_Printer_5"
"document_380",14,chuck,"1474249819.000","anon_Printer_5"
"document_381",13,chuck,"1474249819.000","anon_Printer_5"
"document_382",14,chuck,"1474249906.000","anon_Printer_5"
"document_383",14,chuck,"1474249906.000","anon_Printer_5"
"document_384",14,chuck,"1474249940.000","anon_Printer_5"
"document_385",14,chuck,"1474249940.000","anon_Printer_5"
"document_386",1,chuck,"1474249995.000","anon_Printer_6"
"document_387",1,chuck,"1474249995.000","anon_Printer_6"
"document_388",14,chuck,"1474250004.000","anon_Printer_5"
"document_389",14,chuck,"1474250004.000","anon_Printer_5"
"document_390",14,chuck,"1474250053.000","anon_Printer_5"
"document_391",14,chuck,"1474250053.000","anon_Printer_5"
"document_392",14,chuck,"1474250090.000","anon_Printer_5"
"document_393",14,chuck,"1474250090.000","anon_Printer_5"
"document_394",1,chuck,"1474250181.000","anon_Printer_9"
"document_395",23,chuck,"1474250407.000","anon_Printer_2"
"document_396",12,chuck,"1474250407.000","anon_Printer_2"
"document_397",22,chuck,"1474250407.000","anon_Printer_2"
"document_199",2,chuck,"1474250579.000","anon_Printer_7"
"document_399",2,chuck,"1474250609.000","anon_Printer_7"
