EventCode,EventType,Message,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104422,"1473231835.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,137835,"1473232199.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,137875,"1473232477.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104463,"1473233153.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104458,"1473233153.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95828,"1473233906.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95835,"1473233907.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95850,"1473233908.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,95845,"1473233908.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104707,"1473234137.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104717,"1473234138.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104729,"1473234139.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104722,"1473234139.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\disk.inf_amd64_neutral_4d9acdeddbcdfd89\disk.inf for Device Instance ID SCSI\DISK&VEN_DGC&PROD_VRAID\5&1C329EF6&0&000501 with the following status: 0x0.",Info,233336,"1473234356.000","anon_ComputerName_5","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\disk.inf_amd64_neutral_4d9acdeddbcdfd89\disk.inf for Device Instance ID SCSI\DISK&VEN_DGC&PROD_VRAID\5&1C329EF6&0&000500 with the following status: 0x0.",Info,233344,"1473234357.000","anon_ComputerName_5","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104775,"1473234632.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,104780,"1473234633.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,105065,"1473235588.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,105074,"1473235598.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,105084,"1473235601.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,140821,"1473710505.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\mpio.inf_amd64_neutral_0c74c0f95001b61c\mpio.inf for Device Instance ID ROOT\MPIO\0000 with the following status: 0x0.",Info,68615730,"1473880738.000","anon_ComputerName_1","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\msdsm.inf_amd64_neutral_be2b348981b2ef17\msdsm.inf for Device Instance ID ROOT\MPIO\0001 with the following status: 0x0.",Info,68615733,"1473880740.000","anon_ComputerName_1","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\mppdsm.inf_amd64_neutral_8194895c4d792a17\mppdsm.inf for Device Instance ID ROOT\MPIO\0002 with the following status: 0x0.",Info,68615739,"1473880751.000","anon_ComputerName_1","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\mpputm.inf_amd64_neutral_d0bab9df432820f8\mpputm.inf for Device Instance ID ROOT\MPPUTMDISK\0000 with the following status: 0x0.",Info,68615742,"1473880757.000","anon_ComputerName_1","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver FileRepository\wsdscdrv.inf_amd64_neutral_47406488f9e8d5b8\wsdscdrv.inf for Device Instance ID UUID:01BF51F4-1DD2-11B2-A490-8C5B31F1252A\UMB\3&283E3C1&0&HTTP://WSDSERVICEID/2 with the following status: 0xe0000219.",Info,21460,"1474230019.000","anon_ComputerName_10","WinEventLog:System","WinEventLog:System"
