EventCode,"_time",sourcetype,tag,user
4624,"1527642179.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527642178.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527642178.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527640652.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527640598.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527639099.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527638851.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527638117.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527637250.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527637039.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527636992.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527636868.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527636842.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4624,"1527636842.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527636731.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4634,"1527636730.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527636729.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527636701.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527635866.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527635743.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527635743.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",alice
4624,"1527635741.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527635523.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527633445.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
