badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
0,"2018-03-15T18:24:39.490895Z",409,"2018-03-15T18:25:28.488806Z",user2974,"20161117053531.0Z"
0,"2018-03-08T19:17:18.956059Z",191,"2018-03-01T01:03:52.710364Z",user2984,"20161117005823.0Z"
0,"2018-03-13T19:03:43.993616Z",661,"2018-01-09T00:12:41.755180Z",user2986,"20161117053546.0Z"
0,"2018-03-05T08:25:22.735118Z",707,"2018-03-05T08:25:51.557989Z",user2993,"20161117074734.0Z"
0,"2018-03-15T10:11:58.807084Z",509,"2018-02-25T21:35:57.652332Z",user2995,"20161117073215.0Z"
0,"2018-03-11T00:49:16.463669Z",151,"2018-01-04T13:45:52.203673Z",user3022,"20171006165420.0Z"
0,"2018-03-08T16:36:11.133710Z",130,"2018-01-02T17:20:23.401186Z",user3035,"20171006005252.0Z"
0,"2018-03-05T09:29:40.771618Z",32,"2018-03-12T09:46:10.033163Z",user3045,"20171003200315.0Z"
0,"2018-03-16T13:50:38.446160Z",135,"2018-01-02T18:22:39.459797Z",user3051,"20171003164801.0Z"
0,"2018-03-16T21:49:43.376771Z",82,"2018-01-08T19:29:16.824202Z",user3065,"20170929020347.0Z"
0,"2018-03-09T03:13:54.165149Z",107,"2018-01-09T02:08:31.168252Z",user3066,"20170929010350.0Z"
0,"2018-03-14T05:17:54.308270Z",59,"2018-03-01T04:50:47.092420Z",user3074,"20170928164109.0Z"
0,"2018-03-12T00:01:06.752709Z",89,"2018-01-04T23:39:43.302128Z",user3087,"20170927010345.0Z"
0,"2018-03-11T19:02:43.709666Z",878,"2018-03-08T16:03:48.489714Z",user3102,"20170926054723.0Z"
0,"2018-03-16T14:33:15.285364Z",34,"2018-03-16T15:20:30.619033Z",user3128,"20170919225602.0Z"
0,"2018-03-15T18:00:33.606745Z",75,"2018-02-26T17:46:36.719537Z",user3134,"20170915202850.0Z"
0,"2018-03-14T00:04:33.198590Z",61,"2018-01-08T19:41:23.644061Z",user3145,"20170913230304.0Z"
0,"2018-03-12T16:59:53.618591Z",5660,"2018-03-13T13:35:53.326353Z",user3160,"20170911175223.0Z"
,"2017-09-11T18:27:36.300906Z",1,"2017-09-11T17:52:16.688564Z",user3162,"20170911175216.0Z"
0,"2018-02-23T17:56:09.944596Z",16,"2018-02-27T00:45:58.355033Z",user3197,"20170830085855.0Z"
0,"2018-03-08T18:21:56.058146Z",89,"2018-01-02T16:14:13.817960Z",user3201,"20170829230311.0Z"
0,"2018-03-16T10:39:31.905037Z",179,"2018-02-15T14:08:20.510751Z",user3209,"20170825210317.0Z"
