"USER_ID","USER_VIEWED","_time",country
00540000003023B,"ANON_USER_2805","1484838765.015",USA
0054000000B33B3,"ANON_USER_2848","1484838853.095",EMEA
0054000000B33B3,"ANON_USER_2848","1484838947.884",EMEA
0053300000B3137,"ANON_USER_2312","1484839092.465",USA
0053300000B3137,"ANON_USER_2312","1484839093.199",USA
0053300000B9B14,"ANON_USER_2000","1484839234.630",USA
0053300000B7B1K,"ANON_USER_966","1484839248.090",APAC
0053300000B9B14,"ANON_USER_2000","1484839296.738",USA
0053300000B9B14,"ANON_USER_2000","1484839299.163",USA
0053300000B33K5,"ANON_USER_2000","1484839393.564",USA
0053300000B33K5,"ANON_USER_2000","1484839394.540",USA
0053300000B33K5,"ANON_USER_2000","1484839428.185",USA
005400000033342,"ANON_USER_2301","1484839441.752",USA
0053300000B32KK,"ANON_USER_2815","1484839723.084",USA
0053300000B73B9,"ANON_USER_2474","1484839803.929",USA
0053300000BBK37,"ANON_USER_2255","1484839884.957",USA
0053300000BBK37,"ANON_USER_2255","1484839940.452",USA
0053300000B9921,"ANON_USER_102","1484840070.051",EMEA
0053300000B33K5,"ANON_USER_396","1484840149.214",USA
0053300000B33K5,"ANON_USER_396","1484840149.862",USA
0053300000B9921,"ANON_USER_102","1484840167.771",EMEA
0053300000B9921,"ANON_USER_102","1484840598.508",EMEA
0053300000B33K5,"ANON_USER_1462","1484840623.251",USA
0053300000B9921,"ANON_USER_102","1484840697.994",EMEA
0053300000B33K5,"ANON_USER_1791","1484840726.381",USA
0053300000B73B9,"ANON_USER_1546","1484840763.227",APAC
0053300000B33K5,"ANON_USER_1791","1484840795.079",USA
0054000000B2B37,"ANON_USER_2896","1484840948.880",EMEA
0054000000B2B37,"ANON_USER_3032","1484840950.102",APAC
005330000039229,"ANON_USER_3032","1484840961.416",APAC
005330000039229,"ANON_USER_2896","1484840995.347",EMEA
0053300000B7292,"ANON_USER_981","1484841080.274",USA
0053300000B7292,"ANON_USER_981","1484841111.312",USA
0053300000B3251,"ANON_USER_1268","1484841285.314",USA
0053300000B3251,"ANON_USER_1268","1484841321.768",USA
005400000033393,"ANON_USER_2077","1484841403.095",USA
0054000000B2112,"ANON_USER_597","1484841475.558",USA
005400000032071,"ANON_USER_2707","1484841600.399",USA
0054000000322J3,"ANON_USER_503","1484841677.106",EMEA
0053300000B7730,"ANON_USER_1686","1484841836.466",USA
0053300000B7730,"ANON_USER_1686","1484841841.207",USA
0053300000B7730,"ANON_USER_1686","1484841847.591",USA
0053300000B7730,"ANON_USER_1686","1484841849.627",USA
0053300000B37BJ,"ANON_USER_597","1484841951.563",USA
0053300000B33K5,"ANON_USER_1543","1484842078.569",USA
0053300000B33K5,"ANON_USER_1543","1484842091.089",USA
00540000003J7B9,"ANON_USER_670","1484842291.690",USA
0053300000BB33G,"ANON_USER_3257","1484842343.447",APAC
00540000003B733,"ANON_USER_2578","1484842547.217",USA
00540000003J13B,"ANON_USER_2517","1484842589.548",APAC
00540000003B733,"ANON_USER_2578","1484842760.377",USA
00540000003B733,"ANON_USER_2578","1484842768.188",USA
0053300000B0J71,"ANON_USER_2991","1484842959.092",APAC
0053300000B9233,"ANON_USER_1257","1484843060.016",USA
0053300000B7339,"ANON_USER_722","1484843253.101",USA
0053300000B7339,"ANON_USER_722","1484843290.420",USA
00533000003K7B9,"ANON_USER_1039","1484843683.117",USA
0053300000B79B7,"ANON_USER_2373","1484843693.558",USA
00533000003K7B9,"ANON_USER_1039","1484843788.022",USA
0053300000B79B7,"ANON_USER_2497","1484843885.999",EMEA
0053300000B79B7,"ANON_USER_2373","1484843927.442",USA
00533000003933K,"ANON_USER_989","1484844007.537",USA
00533000003933K,"ANON_USER_1013","1484844026.395",USA
00533000003933K,"ANON_USER_860","1484844163.823",EMEA
00533000003933K,"ANON_USER_2335","1484844168.047",USA
00533000003K7B9,"ANON_USER_1039","1484844226.999",USA
0053300000B79B7,"ANON_USER_2887","1484844291.467",USA
0054000000B3973,"ANON_USER_2513","1484844292.060",USA
005330000039943,"ANON_USER_2494","1484844312.957",USA
005330000039943,"ANON_USER_2494","1484844319.459",USA
0053300000B79B7,"ANON_USER_85","1484844333.638",USA
005330000039943,"ANON_USER_2494","1484844334.691",USA
005330000039943,"ANON_USER_2494","1484844336.064",USA
0053300000B79B7,"ANON_USER_2463","1484844450.672",USA
0053300000B7730,"ANON_USER_1686","1484844456.861",USA
0053300000B7730,"ANON_USER_1686","1484844457.328",USA
0053300000BKK7B,"ANON_USER_1353","1484844463.680",USA
00533000003KKB7,"ANON_USER_2689","1484844526.635",USA
0053300000BKK7B,"ANON_USER_1353","1484844543.704",USA
00533000003KKB7,"ANON_USER_2689","1484844564.624",USA
0053300000B7730,"ANON_USER_1686","1484844571.386",USA
0053300000B7730,"ANON_USER_1686","1484844599.585",USA
0053300000B323K,"ANON_USER_2511","1484844650.108",USA
0053300000B323K,"ANON_USER_2511","1484844652.501",USA
0053300000B7730,"ANON_USER_1686","1484844656.684",USA
0054000000B2B37,"ANON_USER_2355","1484844719.243",USA
0054000000B2B37,"ANON_USER_120","1484844720.110",APAC
00540000003J433,"ANON_USER_2050","1488401613.622",USA
0053300000B3137,"ANON_USER_2704","1488401627.106",USA
0053300000B7KK3,"ANON_USER_1304","1488401660.082",USA
0053300000B9B0J,"ANON_USER_3123","1488401702.004",EMEA
0053300000B9B0J,"ANON_USER_3123","1488401702.750",EMEA
0053300000B9B1K,"ANON_USER_3123","1488401703.626",EMEA
0053300000B9B1K,"ANON_USER_3123","1488401704.441",EMEA
005330000073215,"ANON_USER_571","1488401788.931",APAC
0053300000B3137,"ANON_USER_2624","1488401848.613",USA
0053300000B3137,"ANON_USER_2704","1488401995.100",USA
0053300000B3137,"ANON_USER_2704","1488401996.762",USA
0054000000373B2,"ANON_USER_2238","1488402046.383",EMEA
0054000000B9B9J,"ANON_USER_3115","1488402116.581",USA
0053300000B3137,"ANON_USER_2704","1488402124.962",USA
0054000000B3371,"ANON_USER_1044","1488402418.758",USA
0054000000B3371,"ANON_USER_1044","1488402419.007",USA
0053300000B9B14,"ANON_USER_2428","1488402493.193",USA
0053300000B3319,"ANON_USER_919","1488402504.282",USA
0053300000B3319,"ANON_USER_919","1488402505.451",USA
0054000000B3K37,"ANON_USER_452","1488402587.685",USA
0053300000B9B14,"ANON_USER_2431","1488402609.102",USA
0053300000B9B14,"ANON_USER_2431","1488402679.127",USA
0053300000B9B14,"ANON_USER_2431","1488402679.769",USA
0053300000B9B14,"ANON_USER_2431","1488402687.948",USA
0053300000B9B14,"ANON_USER_2431","1488402720.747",USA
0054000000B3371,"ANON_USER_1044","1488402722.437",USA
0053300000B9B14,"ANON_USER_2431","1488402733.269",USA
0053300000B9B14,"ANON_USER_2431","1488402742.088",USA
0054000000B3371,"ANON_USER_1044","1488402749.890",USA
0054000000B3371,"ANON_USER_1044","1488402765.704",USA
00540000003J433,"ANON_USER_1839","1488402803.629",USA
0053300000B3319,"ANON_USER_919","1488402835.227",USA
0053300000B79B2,"ANON_USER_867","1488403059.165",USA
0053300000B79B2,"ANON_USER_3223","1488403073.740",USA
005400000037130,"ANON_USER_3027","1488403110.827",USA
0053300000B3319,"ANON_USER_2849","1488403128.137",EMEA
0053300000B3319,"ANON_USER_2849","1488403132.195",EMEA
005400000033342,"ANON_USER_2073","1488403304.116",USA
0054000000B3371,"ANON_USER_1044","1488403337.443",USA
0054000000B3371,"ANON_USER_1044","1488403338.016",USA
0053300000B79B2,"ANON_USER_2853","1488403405.480",USA
0053300000B79B2,"ANON_USER_2853","1488403431.866",USA
0053300000B79B2,"ANON_USER_866","1488403447.212",USA
0053300000BB40B,"ANON_USER_93","1488403512.569",USA
0053300000B9B14,"ANON_USER_2475","1488403553.452",USA
0054000000373B2,"ANON_USER_2238","1488403649.195",EMEA
0054000000373B2,"ANON_USER_2238","1488403707.321",EMEA
0053300000B9B1K,"ANON_USER_1307","1488403752.296",USA
0054000000B3K33,"ANON_USER_1810","1488403956.331",USA
0053300000B9B1K,"ANON_USER_1307","1488404125.754",USA
005400000032309,"ANON_USER_605","1488404185.873",EMEA
005400000032309,"ANON_USER_54","1488404195.714",USA
0054000000B3K33,"ANON_USER_1810","1488404244.034",USA
0053300000BBK32,"ANON_USER_293","1488406770.248",EMEA
0054000000B3B21,"ANON_USER_438","1488406941.060",APAC
005400000030KK2,"ANON_USER_1682","1488407008.903",USA
005400000003331,"ANON_USER_106","1488407009.393",USA
005400000030KK2,"ANON_USER_1682","1488407009.820",USA
0054000000B2193,"ANON_USER_1981","1488407039.802",USA
005400000003331,"ANON_USER_106","1488407059.292",USA
0053300000B92B2,"ANON_USER_574","1488407116.650",USA
0053300000B3319,"ANON_USER_325","1488407142.246",USA
005400000032309,"ANON_USER_3315","1488407261.809",USA
00533000003933K,"ANON_USER_2483","1488407425.533",EMEA
0054000000373B2,"ANON_USER_587","1488407593.609",USA
0054000000BJ9KK,"ANON_USER_999","1488407668.383",USA
005400000032309,"ANON_USER_3315","1488407813.005",USA
0054000000BJ9KK,"ANON_USER_999","1488407842.829",USA
005400000030221,"ANON_USER_2086","1488408329.176",EMEA
0053300000B9B0J,"ANON_USER_2270","1488408418.478",USA
0053300000B9B0J,"ANON_USER_2270","1488408419.376",USA
0053300000B2331,"ANON_USER_792","1488408850.904",USA
