"_time",count,EventCode,Keywords,"Logon_Process","Logon_Type","Logon_Type_Description",RecordNumber,Type,dest,user
"1477273117.000",,4624,"Audit Success",Advapi,2,Interactive,952866363,Information,"host_11","user_4"
"1477273142.000",,4624,"Audit Success",User32,10,RemoteInteractive,952867753,Information,"host_11","user_139"
"1477288150.000",,4624,"Audit Success",Advapi,2,Interactive,192634074,Information,"host_2","user_4"
"1477288150.000",,4624,"Audit Success",Advapi,2,Interactive,2770905644,Information,"host_5","user_4"
"1477288165.000",,4624,"Audit Success",User32,10,RemoteInteractive,2770907416,Information,"host_5","user_96"
"1477288168.000",,4624,"Audit Success",User32,10,RemoteInteractive,192634369,Information,"host_2","user_96"
"1477288228.000",,4624,"Audit Success",Advapi,2,Interactive,155886081,Information,"host_3","user_4"
"1477288230.000",,4624,"Audit Success",User32,10,RemoteInteractive,155886160,Information,"host_3","user_96"
"1477288348.000",,4624,"Audit Success",Advapi,2,Interactive,2770928797,Information,"host_5","user_3"
"1477288350.000",,4624,"Audit Success",User32,10,RemoteInteractive,2770928875,Information,"host_5","user_97"
"1477288359.000",,4624,"Audit Success",Advapi,2,Interactive,953643993,Information,"host_11","user_4"
"1477288360.000",,4624,"Audit Success",Advapi,2,Interactive,192636751,Information,"host_2","user_3"
"1477288361.000",,4624,"Audit Success",User32,10,RemoteInteractive,192636790,Information,"host_2","user_97"
"1477288363.000",,4624,"Audit Success",User32,10,RemoteInteractive,953644266,Information,"host_11","user_97"
"1477291331.000",,4624,"Audit Success",User32,10,RemoteInteractive,1526993,Information,"host_1","svc_system_monitoring"
"1477291952.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527000,Information,"host_1","user_39"
"1477293220.000",,4624,"Audit Success",Advapi,2,Interactive,194071922,Information,"host_2","user_2"
"1477293498.000",,4624,"Audit Success",Advapi,2,Interactive,194073202,Information,"host_2","user_3"
"1477293501.000",,4624,"Audit Success",User32,10,RemoteInteractive,194073213,Information,"host_2","user_97"
"1477293799.000",,4624,"Audit Success",Advapi,2,Interactive,194073689,Information,"host_2","user_2"
"1477294167.000",,4624,"Audit Success",Advapi,2,Interactive,194075292,Information,"host_2","user_3"
"1477294172.000",,4624,"Audit Success",User32,10,RemoteInteractive,194075686,Information,"host_2","user_97"
"1477296833.000",,4624,"Audit Success",Advapi,2,Interactive,156066821,Information,"host_3","user_3"
"1477296835.000",,4624,"Audit Success",User32,10,RemoteInteractive,156066835,Information,"host_3","user_97"
"1477296920.000",,4624,"Audit Success",Advapi,2,Interactive,114444253,Information,"host_4","user_4"
"1477296923.000",,4624,"Audit Success",User32,10,RemoteInteractive,114444267,Information,"host_4","user_97"
"1477296938.000",,4624,"Audit Success",Advapi,2,Interactive,169813082,Information,"host_7","user_4"
"1477296939.000",,4624,"Audit Success",User32,10,RemoteInteractive,169813139,Information,"host_7","user_97"
"1477298025.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527024,Information,"host_1","user_34"
"1477300185.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527034,Information,"host_1","user_39"
"1477300757.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527042,Information,"host_1","user_39"
"1477302054.000",,4624,"Audit Success",Advapi,2,Interactive,157168067,Information,"host_3","user_2"
"1477302226.000",,4624,"Audit Success",Advapi,2,Interactive,157169565,Information,"host_3","user_3"
"1477302229.000",,4624,"Audit Success",User32,10,RemoteInteractive,157169580,Information,"host_3","user_97"
"1477304845.000",,4624,"Audit Success",Advapi,2,Interactive,2770944274,Information,"host_5","user_2"
