"_time",app,bytes,"bytes_in","bytes_out","src_ip","dest_ip","dest_port",packets,"packets_in","packets_out",duration,first
"2016-11-02T11:44:24.000-0700",ping,204,102,102,"10.83.160.47","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:43:37.000-0700",ping,204,102,102,"10.83.32.94","135.248.26.217",0,2,1,1,0,135
"2016-11-02T11:43:35.000-0700",ping,204,102,102,"10.83.32.94","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:43:29.000-0700",ping,204,102,102,"10.83.32.132","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:43:28.000-0700",ping,204,102,102,"10.83.36.186","135.248.26.232",0,2,1,1,0,135
"2016-11-02T12:48:53.000-0700",ping,138,69,69,"10.11.168.81","182.195.23.163",0,2,1,1,1,182
"2016-11-02T12:48:52.000-0700",ping,204,102,102,"10.83.36.186","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:48:12.000-0700",ping,204,102,102,"10.83.32.51","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:48:00.000-0700",ping,204,102,102,"10.83.32.25","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:47:57.000-0700",ping,204,102,102,"10.83.32.123","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:47:34.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:47:30.000-0700",ping,204,102,102,"10.83.160.163","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:47:29.000-0700",ping,204,102,102,"10.188.214.11","42.42.42.8",0,2,1,1,0,42
"2016-11-02T12:47:21.000-0700",ping,204,102,102,"10.83.160.116","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:45:26.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:37:34.000-0700",ping,204,102,102,"10.83.160.47","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:37:34.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T12:37:30.000-0700",ping,204,102,102,"10.83.36.93","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:37:25.000-0700",ping,204,102,102,"10.83.32.92","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:37:22.000-0700",ping,204,102,102,"10.83.160.105","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:29:18.000-0700",ping,204,102,102,"10.83.160.194","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:29:14.000-0700",ping,204,102,102,"10.83.36.201","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:29:14.000-0700",ping,204,102,102,"10.83.32.32","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:29:10.000-0700",ping,204,102,102,"10.83.160.163","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:29:05.000-0700",ping,204,102,102,"10.83.32.123","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:29:05.000-0700",ping,69,0,69,"10.11.168.81","206.169.14.178",0,1,0,1,0,206
"2016-11-02T12:29:04.000-0700",ping,204,102,102,"10.83.32.59","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:29:00.000-0700",ping,204,102,102,"10.83.160.221","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:28:53.000-0700",ping,204,102,102,"10.83.160.55","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:28:52.000-0700",ping,204,102,102,"10.83.32.96","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:28:47.000-0700",ping,204,102,102,"10.188.214.11","42.42.42.8",0,2,1,1,0,42
"2016-11-02T12:28:37.000-0700",ping,200,98,102,"10.83.36.150","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:28:22.000-0700",ping,200,98,102,"10.83.36.193","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:28:20.000-0700",ping,200,98,102,"10.83.36.238","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:28:24.000-0700",ping,204,102,102,"10.83.36.93","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:28:22.000-0700",ping,1224,612,612,"10.83.84.236","56.128.39.100",0,12,6,6,0,56
"2016-11-02T12:28:21.000-0700",ping,204,102,102,"10.83.36.222","139.68.67.40",0,2,1,1,0,139
"2016-11-02T12:28:19.000-0700",ping,204,102,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:28:18.000-0700",ping,204,102,102,"10.83.32.2","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:28:15.000-0700",ping,204,102,102,"10.83.36.249","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:28:08.000-0700",ping,204,102,102,"10.83.36.230","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:28:05.000-0700",ping,204,102,102,"10.83.32.59","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:22:36.000-0700",ping,204,102,102,"10.83.32.74","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:22:29.000-0700",ping,204,102,102,"10.83.36.2","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:22:29.000-0700",ping,204,102,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:20:25.000-0700",ping,204,102,102,"10.83.160.173","184.12.54.160",0,2,1,1,0,184
"2016-11-02T12:20:25.000-0700",ping,114,0,114,"10.11.168.28","189.92.222.74",0,1,0,1,0,189
