"Account_Domain","Account_Name","Authentication_Package",EventCode,"Key_Length","Logon_Process","Logon_Type","New_Logon_Security_ID","Subject_Security_ID",Type,"_time"
SUBSIDIARY1,"bjapjif_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bjapjif_jnkmcac","NULL SID",Information,"1456900763.000"
SUBSIDIARY1,"mjmojqkl_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mjmojqkl_jnkmcac","NULL SID",Information,"1456900784.000"
SUBSIDIARY1,"blmamcid_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\blmamcid_jnkmcac","NULL SID",Information,"1456900859.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456900884.000"
SUBSIDIARY1,"fnqqhqp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fnqqhqp_jnkmcac","NULL SID",Information,"1456900978.000"
SUBSIDIARY1,"jijebham_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\jijebham_jnkmcac","NULL SID",Information,"1456901221.000"
SUBSIDIARY1,"jkkkmdmmf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\jkkkmdmmf_jnkmcac","NULL SID",Information,"1456901249.000"
SUBSIDIARY1,"jbdfipe_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\jbdfipe_jnkmcac","NULL SID",Information,"1456901512.000"
SUBSIDIARY1,"dobdhcnpa_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\dobdhcnpa_jnkmcac","NULL SID",Information,"1456901536.000"
SUBSIDIARY1,"mjpnmnank_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mjpnmnank_jnkmcac","NULL SID",Information,"1456901723.000"
SUBSIDIARY1,"ofnmhqo_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ofnmhqo_jnkmcac","NULL SID",Information,"1456901724.000"
SUBSIDIARY1,"bienc_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\bienc_jnkmcac","NULL SID",Information,"1456901733.000"
SUBSIDIARY1,"lpdibooia_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\lpdibooia_jnkmcac","NULL SID",Information,"1456901848.000"
